ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS
2751	Suzhou		stab	tsʰɿ⁴¹²	tsʰɿ⁴¹²	tsʰ ɿ ⁴¹²	557	stab/刺	i n t		刺	
2752	Suzhou		stab	tsʰoʔ⁴	tsʰoʔ⁴	tsʰ o ʔ ⁴	560	stab/戳	i n c t		戳	
2753	Wenzhou		stab	taŋ⁵¹	taŋ⁵¹	t a ŋ ⁵¹	561	stab/頓	i n c t		頓	
2754	Changsha		stab	tsʰɿ⁵⁵	tsʰɿ⁵⁵	tsʰ ɿ ⁵⁵	557	stab/刺	i n t		刺	
2755	Loudi		stab	tsɿ³⁵	tsɿ³⁵	ts ɿ ³⁵	557	stab/刺	i n t		刺	
2756	Nanchang		stab	tsʰɿ²¹³	tsʰɿ²¹³	tsʰ ɿ ²¹³	557	stab/刺	i n t		刺	
2757	Meixian		stab	tsʰɿ⁵³	tsʰɿ⁵³	tsʰ ɿ ⁵³	557	stab/刺	i n t		刺	
2758	Guilin		stab	tsʰɿ²⁵	tsʰɿ²⁵	tsʰ ɿ ²⁵	557	stab/刺	i n t		刺	
2759	Guangzhou		stab	tsʰi³³	tsʰi³³	tsʰ i ³³	557	stab/刺	i n t		刺	
2760	Fuzhou		stab	tsʰie²¹²	tsʰje²¹²	tsʰ j e ²¹²	557	stab/刺	i m n t		刺	
2761	Xiamen		stab	tsʰi²¹	tsʰi²¹	tsʰ i ²¹	557	stab/刺	i n t		刺	
2762	Beijing		hit	tᴀ²¹⁴	ta̠²¹⁴	t a̠ ²¹⁴	115	beat:V/打	i n t		打	
2763	Ha_erbin		hit	ta²¹³	ta²¹³	t a ²¹³	115	beat:V/打	i n t		打	
2764	Jinan		hit	ta⁴⁵	ta⁴⁵	t a ⁴⁵	115	beat:V/打	i n t		打	
2765	Rongcheng		hit	ta²¹⁴	ta²¹⁴	t a ²¹⁴	115	beat:V/打	i n t		打	
2766	Taiyuan		hit	ta⁵³	ta⁵³	t a ⁵³	115	beat:V/打	i n t		打	
2767	Xi_an		hit	tɑ⁵³	tɑ⁵³	t ɑ ⁵³	115	beat:V/打	i n t		打	
2768	Chengdu		hit	ta⁵³	ta⁵³	t a ⁵³	115	beat:V/打	i n t		打	
2769	Nanjing		hit	tɑ¹¹	tɑ¹¹	t ɑ ¹¹	115	beat:V/打	i n t		打	
2770	Jixi		hit	tɔ²¹³	tɔ²¹³	t ɔ ²¹³	115	beat:V/打	i n t		打	
2771	Suzhou		hit	tã⁵²	tã⁵²	t ã ⁵²	115	beat:V/打	i n t		打	
2772	Wenzhou		hit	tiɛ²⁴	tjɛ²⁴	t j ɛ ²⁴	115	beat:V/打	i m n t		打	
2773	Changsha		hit	ta⁴¹	ta⁴¹	t a ⁴¹	115	beat:V/打	i n t		打	
2774	Loudi		hit	ta⁴²	ta⁴²	t a ⁴²	115	beat:V/打	i n t		打	
2775	Nanchang		hit	ta²¹³	ta²¹³	t a ²¹³	115	beat:V/打	i n t		打	
2776	Meixian		hit	ta³¹	ta³¹	t a ³¹	115	beat:V/打	i n t		打	
2777	Guilin		hit	tᴀ²³	ta̠²³	t a̠ ²³	115	beat:V/打	i n t		打	
2778	Guangzhou		hit	ta³⁵	ta³⁵	t a ³⁵	115	beat:V/打	i n t		打	
2779	Fuzhou		hit	pʰaʔ²⁴*	pʰaʔ²⁴	pʰ a ʔ ²⁴	562	hit/拍	i n c t		拍	
2780	Xiamen		hit	pʰaʔ³²*	pʰaʔ³²	pʰ a ʔ ³²	562	hit/拍	i n c t		拍	
2781	Beijing		fight	tɑ²¹⁴⁻²¹ tɕiɑ⁵¹	tɑ²¹⁴+tɕjɑ⁵¹	t ɑ ²¹⁴ + tɕ j ɑ ⁵¹	115 563	_beat:V/打 fight:N/架	i n t + i m n t		打 架	
