ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS
1	Beijing	Mandarin	vomit	tʰu⁵¹	tʰu⁵¹	tʰ u ⁵¹	1	spit/吐	i n t		吐	
2	Ha_erbin	Mandarin	vomit	tʰu⁵³	tʰu⁵³	tʰ u ⁵³	1	spit/吐	i n t		吐	
3	Jinan	Mandarin	vomit	tʰu³¹	tʰu³¹	tʰ u ³¹	1	spit/吐	i n t		吐	
4	Rongcheng	Mandarin	vomit	ou²¹³⁻³⁵ tʰu²¹⁴	ou²¹³+tʰu²¹⁴	ou ²¹³ + tʰ u ²¹⁴	2 1	nausea/嘔 spit/吐	n t + i n t		嘔 吐	
5	Taiyuan	Jin	vomit	tʰu⁵³ lə⁰	tʰu⁵³+lə⁰	tʰ u ⁵³ + l ə ⁰	2 5	nausea/嘔 _:PERFECTIVE/了	i n t + i n t		嘔 嘞	
6	Xi_an	Mandarin	vomit	ŋou²¹ tʰu⁵³	ŋou²¹+tʰu⁵³	ŋ ou ²¹ + tʰ u ⁵³	2 1	nausea/嘔 spit/吐	i n t + i n t		嘔 吐	
7	Chengdu	Mandarin	vomit	fa²¹⁻⁵⁵ tʰu⁵³ lo²¹	fa²¹+tʰu⁵³+lo²¹	f a ²¹ + tʰ u ⁵³ + l o ²¹	4 1 5	_send.out/發 spit/吐 _:PERFECTIVE/了	i n t + i n t + i n t		發 吐 了	
8	Chengdu	Mandarin	vomit	tʰu⁵³⁻⁵⁵ lo²¹	tʰu⁵³+lo²¹	tʰ u ⁵³ + l o ²¹	1 5	spit/吐 _:PERFECTIVE/了	i n t + i n t		吐 了	
9	Chengdu	Mandarin	vomit	ŋəu⁵³⁻⁴⁵ lo²¹	ŋəu⁵³+lo²¹	ŋ əu ⁵³ + l o ²¹	2 5	nausea/嘔 _:PERFECTIVE/了	i n t + i n t		嘔 了	
10	Nanjing	Mandarin	vomit	tʰu⁴⁴	tʰu⁴⁴	tʰ u ⁴⁴	1	spit/吐	i n t		吐	
11	Nanjing	Mandarin	vomit	əɯ¹¹⁻²² tʰu⁴⁴⁻²²	əɯ¹¹+tʰu⁴⁴	əɯ ¹¹ + tʰ u ⁴⁴	2 1	nausea/嘔 spit/吐	n t + i n t		嘔 吐	
12	Jixi	Hui	vomit	fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*	fɔ⁵⁵+ŋoʔ³²	f ɔ ⁵⁵ + ŋ o ʔ ³²	6 7	faint/㽹 nausea/惡	i n t + i n c t		㽹 惡	
13	Suzhou	Wu	vomit	ʏ⁵²	ʏ⁵²	ʏ ⁵²	2	nausea/嘔	n t		嘔	
14	Wenzhou	Wu	vomit	tʰøy⁵¹	tʰøy⁵¹	tʰ øy ⁵¹	1	spit/吐	i n t		吐	
15	Changsha	Xiang	vomit	tʰu⁵⁵	tʰu⁵⁵	tʰ u ⁵⁵	1	spit/吐	i n t		吐	
16	Loudi	Xiang	vomit	xue⁴²	xwe⁴²	x w e ⁴²	768	vomit/?	i m n t		囗	
17	Loudi	Xiang	vomit	ta³⁵⁻⁵ xue⁴²	ta³⁵+xwe⁴²	t a ³⁵ + x w e ⁴²	9 768	_bear.carry/帶 vomit/?	i n t + i m n t		帶 囗	
18	Nanchang	Gan	vomit	ŋiɛu²¹³	ŋjɛu²¹³	ŋ j ɛu ²¹³	2	nausea/嘔	i m n t		嘔	
19	Nanchang	Gan	vomit	tʰu²¹³	tʰu²¹³	tʰ u ²¹³	1	spit/吐	i n t		吐	
20	Meixian	Hakka	vomit	pʰon³³	pʰon³³	pʰ o n ³³	10	turn/翻	i n c t		翻	
21	Guilin	Pinghua	vomit	tʰu²⁵	tʰu²⁵	tʰ u ²⁵	1	spit/吐	i n t		吐	
22	Guangzhou	Yue	vomit	ŋɐu³⁵ tʰou³³	ŋɐu³⁵+tʰou³³	ŋ ɐu ³⁵ + tʰ ou ³³	2 1	nausea/嘔 spit/吐	i n t + i n t		嘔 吐	
23	Fuzhou	Min	vomit	tʰou²¹²	tʰou²¹²	tʰ ou ²¹²	1	spit/吐	i n t		吐	
24	Xiamen	Min	vomit	tʰo²¹	tʰo²¹	tʰ o ²¹	1	spit/吐	i n t		吐	
25	Beijing		fear	pʰᴀ⁵¹	pʰa̠⁵¹	pʰ a̠ ⁵¹	11	fear/怕	i n t		怕	
26	Ha_erbin		fear	pʰa⁵³	pʰa⁵³	pʰ a ⁵³	11	fear/怕	i n t		怕	
27	Jinan		fear	pʰa³¹	pʰa³¹	pʰ a ³¹	11	fear/怕	i n t		怕	
28	Rongcheng		fear	pʰa³³⁴	pʰa³³⁴	pʰ a ³³⁴	11	fear/怕	i n t		怕	
29	Taiyuan		fear	pʰa⁴⁵	pʰa⁴⁵	pʰ a ⁴⁵	11	fear/怕	i n t		怕	
30	Xi_an		fear	pʰɑ⁴⁴	pʰɑ⁴⁴	pʰ ɑ ⁴⁴	11	fear/怕	i n t		怕	
31	Chengdu		fear	pʰa²¹³	pʰa²¹³	pʰ a ²¹³	11	fear/怕	i n t		怕	
32	Chengdu		fear	tsʰa²¹³	tsʰa²¹³	tsʰ a ²¹³	12	fear/诧	i n t		诧	
33	Nanjing		fear	pʰɑ⁴⁴	pʰɑ⁴⁴	pʰ ɑ ⁴⁴	11	fear/怕	i n t		怕	
34	Jixi		fear	pʰo³⁵	pʰo³⁵	pʰ o ³⁵	11	fear/怕	i n t		怕	
35	Suzhou		fear	pʰo⁴¹²	pʰo⁴¹²	pʰ o ⁴¹²	11	fear/怕	i n t		怕	
36	Wenzhou		fear	ho⁴¹	ho⁴¹	h o ⁴¹	13	fear/唬	i n t		唬	
37	Changsha		fear	pʰa⁵⁵	pʰa⁵⁵	pʰ a ⁵⁵	11	fear/怕	i n t		怕	
38	Loudi		fear	pʰɔ³⁵	pʰɔ³⁵	pʰ ɔ ³⁵	11	fear/怕	i n t		怕	
39	Nanchang		fear	pʰa²¹³	pʰa²¹³	pʰ a ²¹³	11	fear/怕	i n t		怕	
40	Meixian		fear	pʰa⁵³	pʰa⁵³	pʰ a ⁵³	11	fear/怕	i n t		怕	
41	Meixian		fear	vi⁵³	vi⁵³	v i ⁵³	14	fear/畏	i n t		畏	
42	Meixian		fear	kiaŋ⁴⁴	kjaŋ⁴⁴	k j a ŋ ⁴⁴	15	fear/驚	i m n c t		驚	
43	Guilin		fear	pʰᴀ²⁵	pʰa̠²⁵	pʰ a̠ ²⁵	11	fear/怕	i n t		怕	
44	Guangzhou		fear	pʰa³³	pʰa³³	pʰ a ³³	11	fear/怕	i n t		怕	
45	Fuzhou		fear	kiaŋ⁵⁵	kjaŋ⁵⁵	k j a ŋ ⁵⁵	15	fear/驚	i m n c t		驚	
46	Xiamen		fear	kiã⁵⁵	kjã⁵⁵	k j ã ⁵⁵	15	fear/驚	i m n t		驚	
47	Beijing		skin	pʰi³⁵ fu⁰	pʰi³⁵+fu⁰	pʰ i ³⁵ + f u ⁰	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
48	Ha_erbin		skin	ʐou⁵³ pʰiər²⁴	ʐou⁵³+pʰjə²⁴	ʐ ou ⁵³ + pʰ j ə ²⁴	18 16	_flesh/肉 skin/皮	i n t + i m n t		肉 皮	
49	Jinan		skin	pʰi⁵³ fu²¹⁴	pʰi⁵³+fu²¹⁴	pʰ i ⁵³ + f u ²¹⁴	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
50	Rongcheng		skin	pʰi³⁵ fu⁵²	pʰi³⁵+fu⁵²	pʰ i ³⁵ + f u ⁵²	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
51	Taiyuan		skin	pʰi²¹ fu²¹	pʰi²¹+fu²¹	pʰ i ²¹ + f u ²¹	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
52	Xi_an		skin	pʰi²⁴	pʰi²⁴	pʰ i ²⁴	16	skin/皮	i n t		皮	
53	Chengdu		skin	pʰi²¹⁻⁵⁵ pʰi²¹⁻⁵⁵	pʰi²¹+pʰi²¹	pʰ i ²¹ + pʰ i ²¹	16 801	skin/皮 _skin:RED/皮	i n t + i n t		皮 皮	
54	Chengdu		skin	pʰi²¹⁻⁵⁵ tsɿ⁵³	pʰi²¹+tsɿ⁵³	pʰ i ²¹ + ts ɿ ⁵³	17 19	skin/膚 _-child:SUF/子	i n t + i n t		皮 子	
55	Nanjing		skin	pʰi¹³ fu³¹	pʰi¹³+fu³¹	pʰ i ¹³ + f u ³¹	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
56	Jixi		skin	pʰɿ⁴⁴	pʰɿ⁴⁴	pʰ ɿ ⁴⁴	16	skin/皮	i n t		皮	
57	Suzhou		skin	bi¹³⁻²² fu⁴⁴⁻³¹	bi¹³+fu⁴⁴	b i ¹³ + f u ⁴⁴	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
58	Wenzhou		skin	bei³⁴¹⁻³³ fu⁴⁴⁻²²	bei³⁴¹+fu⁴⁴	b ei ³⁴¹ + f u ⁴⁴	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
59	Changsha		skin	pi¹³ fu³³	pi¹³+fu³³	p i ¹³ + f u ³³	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
60	Loudi		skin	pʰi¹³	pʰi¹³	pʰ i ¹³	16	skin/皮	i n t		皮	
61	Nanchang		skin	pʰi²⁴ fu⁰	pʰi²⁴+fu⁰	pʰ i ²⁴ + f u ⁰	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
62	Meixian		skin	pʰi¹¹	pʰi¹¹	pʰ i ¹¹	16	skin/皮	i n t		皮	
63	Guilin		skin	pi²² fu⁴²⁻²²	pi²²+fu⁴²	p i ²² + f u ⁴²	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
64	Guangzhou		skin	pʰei²¹ fu⁵³	pʰei²¹+fu⁵³	pʰ ei ²¹ + f u ⁵³	16 17	skin/皮 _skin/膚	i n t + i n t		皮 膚	
65	Fuzhou		skin	pʰuoi⁵³⁻⁵⁵ u⁵⁵	pʰwoi⁵³+u⁵⁵	pʰ w oi ⁵³ + u ⁵⁵	16 17	skin/皮 _skin/膚	i m n t + n t		皮 膚	
66	Fuzhou		skin	pʰuoi⁵³	pʰwoi⁵³	pʰ w oi ⁵³	16	skin/皮	i m n t		皮	
67	Xiamen		skin	pʰe²¹	pʰe²¹	pʰ e ²¹	16	skin/皮	i n t		皮	
68	Beijing		float	pʰiɑu⁵⁵ fu³⁵	pʰjɑu⁵⁵+fu³⁵	pʰ j ɑu ⁵⁵ + f u ³⁵	20 21	float/漂 float/浮	i m n t + i n t		漂 浮	
69	Ha_erbin		float	pʰiau⁴⁴ fu²⁴	pʰjau⁴⁴+fu²⁴	pʰ j au ⁴⁴ + f u ²⁴	20 21	float/漂 float/浮	i m n t + i n t		漂 浮	
70	Jinan		float	pʰiɔ²¹⁴ fu⁵³	pʰjɔ²¹⁴+fu⁵³	pʰ j ɔ ²¹⁴ + f u ⁵³	20 21	float/漂 float/浮	i m n t + i n t		漂 浮	
71	Rongcheng		float	pʰiau⁵² fu³⁵	pʰjau⁵²+fu³⁵	pʰ j au ⁵² + f u ³⁵	20 21	float/漂 float/浮	i m n t + i n t		漂 浮	
72	Taiyuan		float	pʰiɑu²¹	pʰjɑu²¹	pʰ j ɑu ²¹	20	float/漂	i m n t		漂	
73	Xi_an		float	pʰiau²¹	pʰjau²¹	pʰ j au ²¹	20	float/漂	i m n t		漂	
74	Xi_an		float	fu²⁴	fu²⁴	f u ²⁴	21	float/浮	i n t		浮	
75	Chengdu		float	pʰiau⁴⁵	pʰjau⁴⁵	pʰ j au ⁴⁵	20	float/漂	i m n t		漂	
76	Nanjing		float	pʰiɔ³¹ fu¹³	pʰjɔ³¹+fu¹³	pʰ j ɔ ³¹ + f u ¹³	20 21	float/漂 float/浮	i m n t + i n t		漂 浮	
77	Nanjing		float	fu¹³	fu¹³	f u ¹³	21	float/浮	i n t		浮	
78	Nanjing		float	piɔ³¹	pjɔ³¹	p j ɔ ³¹	20	float/漂	i m n t		漂	
79	Jixi		float	fu⁴⁴	fu⁴⁴	f u ⁴⁴	21	float/浮	i n t		浮	
80	Jixi		float	pʰie⁵⁵ fu⁴⁴	pʰje⁵⁵+fu⁴⁴	pʰ j e ⁵⁵ + f u ⁴⁴	20 21	float/漂 float/浮	i m n t + i n t		漂 浮	
81	Suzhou		float	tʰən⁵²	tʰən⁵²	tʰ ə n ⁵²	22	float/氽	i n c t		氽	
82	Wenzhou		float	və³⁴¹	və³⁴¹	v ə ³⁴¹	21	float/浮	i n t		浮	
83	Wenzhou		float	taŋ⁵¹	taŋ⁵¹	t a ŋ ⁵¹	22	float/氽	i n c t		氽	
84	Changsha		float	pʰiau³³ fu⁰	pʰjau³³+fu⁰	pʰ j au ³³ + f u ⁰	20 21	float/漂 float/浮	i m n t + i n t		漂 浮	
85	Loudi		float	bɤ¹³	bɤ¹³	b ɤ ¹³	20	float/漂	i n t		漂	
86	Nanchang		float	pʰiɛu⁴²	pʰjɛu⁴²	pʰ j ɛu ⁴²	20	float/漂	i m n t		漂	
87	Nanchang		float	fəu⁴⁵	fəu⁴⁵	f əu ⁴⁵	21	float/浮	i n t		浮	
88	Nanchang		float	pʰiɛu⁴² fɛu⁴⁵	pʰjɛu⁴²+fɛu⁴⁵	pʰ j ɛu ⁴² + f ɛu ⁴⁵	20 21	float/漂 float/浮	i m n t + i n t		漂 浮	
89	Meixian		float	feu¹¹	feu¹¹	f eu ¹¹	21	float/浮	i n t		浮	
90	Guilin		float	fu²² tɑu²³⁻³³	fu²²+tɑu²³	f u ²² + t ɑu ²³	21 23	float/浮 _fall.down/倒	i n t + i n t		浮 倒	
91	Guangzhou		float	pʰiu⁵³ fɐu²¹	pʰju⁵³+fɐu²¹	pʰ j u ⁵³ + f ɐu ²¹	20 21	float/漂 float/浮	i m n t + i n t		漂 浮	
92	Fuzhou		float	pʰieu⁵⁵ lɛ³²	pʰjeu⁵⁵+lɛ³²	pʰ j eu ⁵⁵ + l ɛ ³²	20 24	float/漂 _float/𡅏	i m n t + i n t		漂 𡅏	
93	Fuzhou		float	pʰu⁵³ lɛ³²	pʰu⁵³+lɛ³²	pʰ u ⁵³ + l ɛ ³²	21 24	float/浮 _float/𡅏	i n t + i n t		浮 𡅏	
94	Xiamen		float	pʰu²⁴	pʰu²⁴	pʰ u ²⁴	21	float/浮	i n t		浮	
95	Beijing		smooth	pʰiŋ³⁵	pʰiŋ³⁵	pʰ i ŋ ³⁵	25	even/平	i n c t		平	
96	Ha_erbin		smooth	pʰiŋ²⁴	pʰiŋ²⁴	pʰ i ŋ ²⁴	25	even/平	i n c t		平	
97	Jinan		smooth	pʰiŋ⁵³	pʰiŋ⁵³	pʰ i ŋ ⁵³	25	even/平	i n c t		平	
98	Rongcheng		smooth	pʰiŋ³⁵	pʰiŋ³⁵	pʰ i ŋ ³⁵	25	even/平	i n c t		平	
99	Taiyuan		smooth	pʰiŋ²¹	pʰiŋ²¹	pʰ i ŋ ²¹	25	even/平	i n c t		平	
100	Xi_an		smooth	pʰiŋ²⁴	pʰiŋ²⁴	pʰ i ŋ ²⁴	25	even/平	i n c t		平	
101	Chengdu		smooth	pʰin²¹	pʰin²¹	pʰ i n ²¹	25	even/平	i n c t		平	
102	Nanjing		smooth	pʰin¹³	pʰin¹³	pʰ i n ¹³	25	even/平	i n c t		平	
103	Jixi		smooth	pʰiɑ̃⁴⁴	pʰjɑ̃⁴⁴	pʰ j ɑ̃ ⁴⁴	25	even/平	i m n t		平	
104	Suzhou		smooth	bin¹³	bin¹³	b i n ¹³	25	even/平	i n c t		平	
105	Wenzhou		smooth	beŋ³⁴¹	beŋ³⁴¹	b e ŋ ³⁴¹	25	even/平	i n c t		平	
106	Changsha		smooth	pin¹³	pin¹³	p i n ¹³	25	even/平	i n c t		平	
107	Loudi		smooth	pʰiɔ¹³	pʰjɔ¹³	pʰ j ɔ ¹³	25	even/平	i m n t		平	
108	Nanchang		smooth	pʰin²⁴	pʰin²⁴	pʰ i n ²⁴	25	even/平	i n c t		平	
109	Meixian		smooth	pʰiaŋ¹¹	pʰjaŋ¹¹	pʰ j a ŋ ¹¹	25	even/平	i m n c t		平	
110	Guilin		smooth	pei²²	pei²²	p ei ²²	25	even/平	i n t		平	
111	Guangzhou		smooth	pʰɛŋ²¹	pʰɛŋ²¹	pʰ ɛ ŋ ²¹	25	even/平	i n c t		平	
112	Fuzhou		smooth	paŋ⁵³	paŋ⁵³	p a ŋ ⁵³	25	even/平	i n c t		平	
113	Xiamen		smooth	piæ²⁴	pjæ²⁴	p j æ ²⁴	25	even/平	i m n t		平	
114	Beijing		wife	tɕʰi⁵⁵ tsɿ⁰	tɕʰi⁵⁵+tsɿ⁰	tɕʰ i ⁵⁵ + ts ɿ ⁰	26 19	wife/妻 _-child:SUF/子	i n t + i n t		妻 子	
115	Ha_erbin		wife	lau²¹³⁻²¹ pʰɤ⁰	lau²¹³+pʰɤ⁰	l au ²¹³ + pʰ ɤ ⁰	27 28	old/老 woman/婆	i n t + i n t		老 婆	
116	Ha_erbin		wife	ɕi²¹³⁻²¹ fur⁰	ɕi²¹³+fu⁰	ɕ i ²¹³ + f u ⁰	29 30	wife/媳 wife/婦	i n t + i n t		媳 婦	
117	Ha_erbin		wife	lau²¹³⁻²¹ niaŋ²⁴ mər⁰	lau²¹³+njaŋ²⁴+mə⁰	l au ²¹³ + n j a ŋ ²⁴ + m ə ⁰	27 31 195	old/老 female/娘 :PL/們	i n t + i m n c t + i n t		老 娘 們	
118	Jinan		wife	tɕʰi²¹³⁻²¹ tsɿ⁰	tɕʰi²¹³+tsɿ⁰	tɕʰ i ²¹³ + ts ɿ ⁰	26 19	wife/妻 _-child:SUF/子	i n t + i n t		妻 子	
119	Rongcheng		wife	lau²¹³ pʰə⁰	lau²¹³+pʰə⁰	l au ²¹³ + pʰ ə ⁰	27 28	old/老 woman/婆	i n t + i n t		老 婆	
120	Taiyuan		wife	lau⁵³ pʰɤ²¹	lau⁵³+pʰɤ²¹	l au ⁵³ + pʰ ɤ ²¹	27 28	old/老 woman/婆	i n t + i n t		老 婆	
121	Xi_an		wife	ɕi²¹ fur⁰	ɕi²¹+fu⁰	ɕ i ²¹ + f u ⁰	29 30	wife/媳 wife/婦	i n t + i n t		媳 婦	
122	Xi_an		wife	pʰo²⁴ niɑŋ⁰	pʰo²⁴+njɑŋ⁰	pʰ o ²⁴ + n j ɑ ŋ ⁰	28 31	woman/婆 female/娘	i n t + i m n c t		婆 娘	
123	Xi_an		wife	uɑ⁴⁴ tʰɑ²⁴ mɑ²¹	wɑ⁴⁴+tʰɑ²⁴+mɑ²¹	w ɑ ⁴⁴ + tʰ ɑ ²⁴ + m ɑ ²¹	33 34 50	child/娃 _wife _wife	m n t + i n t + i n t		娃 大 妈	
124	Xi_an		wife	u²¹ ni⁰ ʐẽ²⁴	u²¹+ni⁰+ʐẽ²⁴	u ²¹ + n i ⁰ + ʐ ẽ ²⁴	36 52 38	_wife inside/里 _person/人	n t + i n t + i n t		屋 裡 人	
125	Chengdu		wife	lau⁵³⁻⁴⁵ pʰo²¹	lau⁵³+pʰo²¹	l au ⁵³ + pʰ o ²¹	27 28	old/老 woman/婆	i n t + i n t		老 婆	
126	Chengdu		wife	lau⁵³⁻⁴⁵ ȵiər²¹	lau⁵³+ɲjə²¹	l au ⁵³ + ɲ j ə ²¹	27 31	old/老 female/娘	i n t + i m n t		老 娘	
127	Chengdu		wife	ȵy⁵³⁻⁴⁵ li⁵⁵	ɲy⁵³+li⁵⁵	ɲ y ⁵³ + l i ⁵⁵	39 40	female/女 _:GEN/的	i n t + i n t		女 的	
128	Nanjing		wife	lɔ¹¹ pʰo¹³	lɔ¹¹+pʰo¹³	l ɔ ¹¹ + pʰ o ¹³	27 28	old/老 woman/婆	i n t + i n t		老 婆	
129	Jixi		wife	nɤ²¹³⁻³² y³¹⁻²¹	nɤ²¹³+y³¹	n ɤ ²¹³ + y ³¹	27 41	old/老 woman/妪	i n t + n t		老 妪	
130	Jixi		wife	ȵy²¹³ iɑ̃⁴⁴	ɲy²¹³+jɑ̃⁴⁴	ɲ y ²¹³ + j ɑ̃ ⁴⁴	39 38	female/女 _person/人	i n t + i n t		女 人	
131	Suzhou		wife	kɑ⁴⁴ tsʯ⁵²⁻⁴⁴ bu¹³⁻²¹	kɑ⁴⁴+tsʯ⁵²+bu¹³	k ɑ ⁴⁴ + ts ʯ ⁵² + b u ¹³	42 43 28	family/家 lord/主 woman/婆	i n t + i n t + i n t		家 主 婆	
132	Wenzhou		wife	lə²⁴⁻⁴² y⁴⁴⁻²¹	lə²⁴+y⁴⁴	l ə ²⁴ + y ⁴⁴	27 44	old/老 wife	i n t + n t		老 安	
133	Changsha		wife	tɕʰi³³ tsɿ⁰	tɕʰi³³+tsɿ⁰	tɕʰ i ³³ + ts ɿ ⁰	26 19	wife/妻 _-child:SUF/子	i n t + i n t		妻 子	
134	Changsha		wife	tan¹³ kʰə⁰	tan¹³+kʰə⁰	t a n ¹³ + kʰ ə ⁰	45 46	relative:N/堂 guest/客	i n c t + i n t		堂 客	
135	Changsha		wife	lei¹¹ tan³³ tɕia³³	lei¹¹+tan³³+tɕja³³	l ei ¹¹ + t a n ³³ + tɕ j a ³³	47 48 42	inside/內 act/當 family/家	i n t + i n c t + i m n t		內 當 家	
136	Changsha		wife	po¹³ po⁰ tsɿ⁰	po¹³+po⁰+tsɿ⁰	p o ¹³ + p o ⁰ + ts ɿ ⁰	28 772 19	woman/婆 woman/婆 _-child:SUF/子	i n t + i n t + i n t		婆 婆 子	
137	Loudi		wife	tʰɔŋ¹³ ke¹³⁻³³	tʰɔŋ¹³+ke¹³	tʰ ɔ ŋ ¹³ + k e ¹³	45 46	relative:N/堂 guest/客	i n c t + i n t		堂 客	
138	Nanchang		wife	tɕʰi⁴² tsɿ⁰	tɕʰi⁴²+tsɿ⁰	tɕʰ i ⁴² + ts ɿ ⁰	26 19	wife/妻 _-child:SUF/子	i n t + i n t		妻 子	
139	Nanchang		wife	lau²¹³ pʰo⁰	lau²¹³+pʰo⁰	l au ²¹³ + pʰ o ⁰	27 28	old/老 woman/婆	i n t + i n t		老 婆	
140	Meixian		wife	lau³¹ pʰo¹¹	lau³¹+pʰo¹¹	l au ³¹ + pʰ o ¹¹	27 28	old/老 woman/婆	i n t + i n t		老 婆	
141	Guilin		wife	lɑu²³ puo²²	lɑu²³+pwo²²	l ɑu ²³ + p w o ²²	27 28	old/老 woman/婆	i n t + i m n t		老 婆	
142	Guangzhou		wife	tsʰɐi⁵³ tsi³⁵	tsʰɐi⁵³+tsi³⁵	tsʰ ɐi ⁵³ + ts i ³⁵	26 19	wife/妻 _-child:SUF/子	i n t + i n t		妻 子	
143	Fuzhou		wife	lo³²⁻³⁵ lieu³²	lo³²+ljeu³²	l o ³² + l/s j eu ³²	27 49	old/老 small/小	i n t + i m n t		老 小	
144	Fuzhou		wife	lau²⁴²⁻⁵³ ma³²	lau²⁴²+ma³²	l au ²⁴² + m a ³²	27 50	old/老 mother/媽	i n t + i n t		老 媽	
145	Fuzhou		wife	lau²⁴²⁻⁵⁵ pʰo⁵³	lau²⁴²+pʰo⁵³	l au ²⁴² + pʰ o ⁵³	27 28	old/老 woman/婆	i n t + i n t		老 婆	
146	Fuzhou		wife	tsʰuo²¹²⁻⁵³ lie³²	tsʰwo²¹²+lje³²	tsʰ w o ²¹² + l j e ³²	51 52	place:V/厝 inside/里	i m n t + i m n t		厝 里	
147	Xiamen		wife	bɔ⁵³	bɔ⁵³	b ɔ ⁵³	53	wife/某	i n t		某	
148	Beijing	Mandarin	all	tɕʰyɛn³⁵ pu⁵¹	tɕʰɥɛn³⁵+pu⁵¹	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	54 55	complete/全 part/部	i m n c t + i n t		全 部	
149	Ha_erbin	Mandarin	all	tɕʰyan²⁴ pu⁵³	tɕʰɥan²⁴+pu⁵³	tɕʰ ɥ a n ²⁴ + p u ⁵³	54 55	complete/全 part/部	i m n c t + i n t		全 部	
150	Jinan	Mandarin	all	tɕʰyæ̃⁵³ pu³¹	tɕʰɥæ̃⁵³+pu³¹	tɕʰ ɥ æ̃ ⁵³ + p u ³¹	54 55	complete/全 part/部	i m n t + i n t		全 部	
151	Rongcheng	Mandarin	all	tsʰiɐn³⁵ pur³³⁴	tsʰjɐn³⁵+pu³³⁴	tsʰ j ɐ n ³⁵ + p u ³³⁴	54 55	complete/全 part/部	i m n c t + i n t		全 部	
152	Taiyuan	Jin	all	tɕʰye²¹ pu⁴⁵	tɕʰɥe²¹+pu⁴⁵	tɕʰ ɥ e ²¹ + p u ⁴⁵	54 55	complete/全 part/部	i m n t + i n t		全 部	
153	Xi_an	Mandarin	all	tsʰuæ̃²⁴ pu⁴⁴	tsʰwæ̃²⁴+pu⁴⁴	tsʰ w æ̃ ²⁴ + p u ⁴⁴	54 55	complete/全 part/部	i m n t + i n t		全 部	
154	Chengdu	Mandarin	all	tɕʰyan²¹⁻⁵⁵ pu²¹³⁻²¹	tɕʰɥan²¹+pu²¹³	tɕʰ ɥ a n ²¹ + p u ²¹³	54 55	complete/全 part/部	i m n c t + i n t		全 部	
155	Nanjing	Mandarin	all	tɕʰyen¹³ pu⁴⁴	tɕʰɥen¹³+pu⁴⁴	tɕʰ ɥ e n ¹³ + p u ⁴⁴	54 55	complete/全 part/部	i m n c t + i n t		全 部	
156	Jixi	Hui	all	tɕʰyẽ⁴⁴⁻³⁵ pʰu³¹	tɕʰɥẽ⁴⁴+pʰu³¹	tɕʰ ɥ ẽ ⁴⁴ + pʰ u ³¹	54 55	complete/全 part/部	i m n t + i n t		全 部	
157	Suzhou	Wu	all	ziɪ¹³ bu²³¹⁻²¹	zjɪ¹³+bu²³¹	z j ɪ ¹³ + b u ²³¹	54 55	complete/全 part/部	i m n t + i n t		全 部	
158	Wenzhou	Wu	all	jy³⁴¹⁻²⁴ bu²⁴⁻²²	jy³⁴¹+bu²⁴	j y ³⁴¹ + b u ²⁴	54 55	complete/全 part/部	i n t + i n t		全 部	
159	Changsha	Xiang	all	tɕʰyẽ¹³ pu¹¹	tɕʰɥẽ¹³+pu¹¹	tɕʰ ɥ ẽ ¹³ + p u ¹¹	54 55	complete/全 part/部	i m n t + i n t		全 部	
160	Loudi	Xiang	all	dzuĩ¹³ bu¹¹	dzwĩ¹³+bu¹¹	dz w ĩ ¹³ + b u ¹¹	54 55	complete/全 part/部	i m n t + i n t		全 部	
161	Nanchang	Gan	all	tɕʰyon²⁴ pu⁰	tɕʰɥon²⁴+pu⁰	tɕʰ ɥ o n ²⁴ + p u ⁰	54 55	complete/全 part/部	i m n c t + i n t		全 部	
162	Meixian	Hakka	all	tɕʰien¹¹ pʰu⁵³	tɕʰjen¹¹+pʰu⁵³	tɕʰ j e n ¹¹ + pʰ u ⁵³	54 55	complete/全 part/部	i m n c t + i n t		全 部	
163	Guilin	Pinghua	all	tɕyã²² pu²¹	tɕɥã²²+pu²¹	tɕ ɥ ã ²² + p u ²¹	54 55	complete/全 part/部	i m n t + i n t		全 部	
164	Guangzhou	Yue	all	tsʰyn²¹ pou²²	tsʰyn²¹+pou²²	tsʰ y n ²¹ + p ou ²²	54 55	complete/全 part/部	i n c t + i n t		全 部	
165	Fuzhou	Min	all	ko²¹²⁻²¹ louŋ⁵³⁻²¹ ŋa²⁴²	ko²¹²+louŋ⁵³+ŋa²⁴²	k o ²¹² + l ou ŋ ⁵³ + ŋ a ²⁴²	56 467 58	-piece:CLS/個 all/郎 _descend/下	i n t + i n c t + i n t		個 郎 下	
